,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status
21898,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
24106,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Physical Therapist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
24206,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,Benefits,NO_LABEL,PreK-12 Operating
24535,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
25753,Food Services,O&M,School Reported,School,Unspecified,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
26418,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,Benefits,NO_LABEL,PreK-12 Operating
26913,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
27069,Utilities,O&M,Leadership & Management,Non-School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12 Operating
30800,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
31691,Governance,Leadership,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
33760,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
35318,Aides Compensation,Instruction,School Reported,School,ELL,TA,Benefits,NO_LABEL,PreK-12 Operating
36160,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
37855,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Occupational Therapist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
38078,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
38553,Data Processing & Information Services,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
38813,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Nurse,Benefits,NO_LABEL,PreK-12 Operating
39614,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
40687,Governance,Leadership,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating
40883,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
41261,Untracked Budget Set-Aside,Untracked Budget Set-Aside,Shared Services,Non-School,Unspecified,Non-Position,Contracted Services,Non PreK,PreK-12 Operating
45396,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
46416,Professional Development,ISPD,School Reported,School,Poverty,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
47096,Professional Development,ISPD,Shared Services,Non-School,Special Education,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
48212,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,PreK,PreK-12 Operating
48263,Curriculum Development,ISPD,Leadership & Management,Non-School,Special Education,(Exec) Director,Travel & Conferences,Non PreK,PreK-12 Operating
48802,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
49143,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating
50120,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Special Education,Speech Therapist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
50465,Governance,Leadership,Leadership & Management,Non-School,Unspecified,(Exec) Director,Base Salary/Compensation,Non PreK,PreK-12 Operating
51175,Professional Development,ISPD,School Reported,School,Poverty,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
52565,Governance,Leadership,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
52862,Insurance,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
53356,Data Processing & Information Services,Business Services,Shared Services,Non-School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
53664,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
54007,Utilities,O&M,School Reported,School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
55597,Food Services,O&M,Shared Services,School,Unspecified,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating
56374,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating
57394,Professional Development,ISPD,School on Central Budgets,Non-School,Special Education,Speech Therapist,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
57469,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Nurse,Benefits,NO_LABEL,PreK-12 Operating
57625,Student Assignment,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
57830,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
59076,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
59396,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Travel & Conferences,NO_LABEL,PreK-12 Operating
59612,Curriculum Development,ISPD,Shared Services,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating
60870,Utilities,O&M,School Reported,School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
60990,School Administration,Leadership,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
62039,Food Services,O&M,Shared Services,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
62190,Research & Accountability,Leadership,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
63804,Legal,Business Services,Leadership & Management,Non-School,Unspecified,Non-Position,Contracted Services,NO_LABEL,PreK-12 Operating
64627,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
65252,Teacher Compensation,Instruction,School Reported,School,Poverty,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
65470,Substitute Compensation,Instruction,School Reported,School,Unspecified,Librarian,Substitute Compensation,NO_LABEL,PreK-12 Operating
66394,Parent & Community Relations,Pupil Services & Enrichment,Leadership & Management,Non-School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
66536,Untracked Budget Set-Aside,Untracked Budget Set-Aside,Shared Services,Non-School,Unspecified,Non-Position,Contracted Services,Non PreK,PreK-12 Operating
67161,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Social Worker,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
67649,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
68940,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
69442,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
70801,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,TA,Benefits,NO_LABEL,PreK-12 Operating
73075,School Supervision,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
74067,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
75614,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
75747,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
76036,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
76998,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
77099,School Administration,NO_LABEL,School Reported,School,NO_LABEL,Sec/Clerk/Other Admin,NO_LABEL,NO_LABEL,PreK-12 Operating
77405,Other Non-Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
78609,Substitute Compensation,Instruction,School Reported,School,Poverty,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
78823,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Physical Therapist,Base Salary/Compensation,Non PreK,PreK-12 Operating
79966,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
82568,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Coordinator/Manager,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
83082,Special Population Program Management & Support,ISPD,Leadership & Management,Non-School,Special Education,Other,Base Salary/Compensation,PreK,PreK-12 Operating
84511,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
85760,Teacher Compensation,Instruction,School on Central Budgets,Non-School,PreK,Teacher,Other Compensation/Stipend,PreK,PreK-12 Operating
85793,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
86989,Curriculum Development,ISPD,Leadership & Management,Non-School,Gifted,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
87186,Physical Health & Services,Pupil Services & Enrichment,Shared Services,Non-School,PreK,Psychologist,Benefits,PreK,PreK-12 Operating
87440,Facilities Planning,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
87472,Data Processing & Information Services,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
87698,Facilities Planning,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating
88526,Recruitment,ISPD,School Reported,School,Unspecified,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
90462,Curriculum Development,ISPD,Shared Services,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating
91307,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
91932,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,Non PreK,PreK-12 Operating
93762,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
94989,Special Population Program Management & Support,ISPD,Shared Services,Non-School,Special Education,Psychologist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
95309,Research & Accountability,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
95377,Instructional Materials & Supplies,Instruction,School Reported,School,ELL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
96074,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
96159,Professional Development,ISPD,School Reported,School,ELL,Instructional Coach,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
99309,Instructional Materials & Supplies,Instruction,School Reported,School,ELL,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating
101746,Other Compensation,Instruction,School Reported,School,ELL,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
101935,School Administration,Leadership,School Reported,School,Unspecified,Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
101975,Library & Media,Instruction,Shared Services,Non-School,Unspecified,Librarian,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
102660,Data Processing & Information Services,Business Services,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
104588,Security & Safety,O&M,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
106209,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
106790,Other Non-Compensation,Instruction,School Reported,School,Special Education,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating
107898,Human Resources,Business Services,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
109059,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
110076,Special Population Program Management & Support,ISPD,Leadership & Management,Non-School,Special Education,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
112689,Data Processing & Information Services,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
112854,Facilities Planning,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
113406,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
113424,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating
114040,Aides Compensation,Instruction,School Reported,School,Poverty,TA,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
114140,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Gifted,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
114463,Professional Development,ISPD,Leadership & Management,Non-School,Gifted,NO_LABEL,Travel & Conferences,Non PreK,PreK-12 Operating
114656,Professional Development,ISPD,Shared Services,Non-School,Unspecified,Instructional Coach,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
114917,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
116208,Security & Safety,O&M,School Reported,School,Unspecified,School Monitor/Security,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
117855,Food Services,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
119391,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
119893,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
122394,Professional Development,ISPD,Shared Services,Non-School,Unspecified,Vice Principal,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
122975,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Occupational Therapist,NO_LABEL,NO_LABEL,PreK-12 Operating
124409,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
127481,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
127931,Aides Compensation,Instruction,School Reported,School,PreK,TA,Base Salary/Compensation,PreK,PreK-12 Operating
128058,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
128764,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
128986,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
129121,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
130069,Library & Media,Instruction,School Reported,School,At Risk,Librarian,Base Salary/Compensation,Non PreK,PreK-12 Operating
130113,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
130696,"Finance, Budget, Purchasing & Distribution",Business Services,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating
130885,Library & Media,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
132260,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
132572,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating
133882,Legal,Business Services,Shared Services,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating
134185,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Nurse Aide,NO_LABEL,NO_LABEL,PreK-12 Operating
134419,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating
134827,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
136056,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Benefits,NO_LABEL,PreK-12 Operating
137287,Facilities & Maintenance,O&M,School on Central Budgets,Non-School,Unspecified,Custodian,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
139556,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
139984,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
140796,Library & Media,Instruction,School Reported,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
141719,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
142072,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
144993,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Benefits,NO_LABEL,PreK-12 Operating
144997,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Nurse,Base Salary/Compensation,Non PreK,PreK-12 Operating
145015,Other Compensation,Instruction,School Reported,School,Poverty,NO_LABEL,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
145527,Career & Academic Counseling,Pupil Services & Enrichment,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
146424,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Area Officers,Base Salary/Compensation,PreK,PreK-12 Operating
146681,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
148146,Professional Development,ISPD,School Reported,School,At Risk,NO_LABEL,Other Non-Compensation,Non PreK,PreK-12 Operating
148219,Social & Emotional,Pupil Services & Enrichment,School on Central Budgets,Non-School,Alternative,Coordinator/Manager,Base Salary/Compensation,Non PreK,PreK-12 Operating
149414,Curriculum Development,NO_LABEL,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating
150039,Library & Media,Instruction,Shared Services,Non-School,Unspecified,Librarian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
153018,Communications,Leadership,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
154149,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Social Worker,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
155106,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Physical Therapist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
157119,Security & Safety,NO_LABEL,School Reported,School,NO_LABEL,Area Officers,NO_LABEL,NO_LABEL,PreK-12 Operating
157142,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
158185,Insurance,Business Services,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
158448,Food Services,O&M,Shared Services,School,Unspecified,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating
158485,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating
159687,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
160273,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating
161673,School Administration,Leadership,School Reported,School,Unspecified,Principal,Base Salary/Compensation,Non PreK,PreK-12 Operating
162170,Professional Development,ISPD,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,Non PreK,PreK-12 Operating
162256,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
162885,Other Non-Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating
163074,Substitute Compensation,Instruction,School Reported,School,Unspecified,Guidance Counselor,Substitute Compensation,NO_LABEL,PreK-12 Operating
163298,Special Population Program Management & Support,ISPD,Shared Services,Non-School,Special Education,Psychologist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
163399,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating
163976,Security & Safety,O&M,School on Central Budgets,Non-School,Unspecified,Non-Position,Other Compensation/Stipend,Non PreK,PreK-12 Operating
164219,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
166470,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
167102,School Administration,Leadership,School Reported,School,Unspecified,Principal,Benefits,NO_LABEL,PreK-12 Operating
167411,Teacher Compensation,Instruction,School Reported,School,Poverty,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
168219,Library & Media,Instruction,School Reported,School,Unspecified,NO_LABEL,Contracted Services,Non PreK,PreK-12 Operating
169063,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Nurse Aide,NO_LABEL,NO_LABEL,PreK-12 Operating
171564,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating
171644,Utilities,O&M,School Reported,School,Unspecified,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating
172606,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating
172894,Other Non-Compensation,Instruction,School Reported,School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating
173685,Career & Academic Counseling,Pupil Services & Enrichment,School Reported,School,Unspecified,Guidance Counselor,Base Salary/Compensation,Non PreK,PreK-12 Operating
173894,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Speech Therapist,Benefits,NO_LABEL,PreK-12 Operating
174566,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating
176221,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12"
